vertices,time
100,1398
100,359
100,788
100,1773
100,532
100,1555
100,1588
100,635
100,1337
100,1360
100,1339
100,261
100,628
100,1255
100,488
100,1400
100,1204
100,642
100,1238
100,1602
200,3161
200,615
200,2431
200,2088
200,1776
200,1900
200,927
200,2512
200,853
200,2621
100,1418
100,636
100,737
100,1278
100,624
100,1389
100,1417
100,605
100,1612
100,964
200,3693
200,467
200,2202
200,1412
200,1689
200,1827
200,572
200,1623
200,699
200,2064
300,4059
300,4042
300,3617
300,3313
300,2522
300,2758
300,3331
300,4731
300,2898
300,2719
400,4489
400,3385
400,1647
400,1639
400,4122
400,2423
400,1641
400,1410
400,3743
400,1483
500,2293
500,4077
500,893
500,1315
500,3591
500,704
500,2784
500,326
500,828
500,607
600,3218
600,1780
600,4600
600,2507
600,7529
600,2790
600,4882
600,4212
600,4515
600,4487
700,6104
700,6205
700,8904
700,1876
700,5805
700,5072
700,4015
700,10559
700,1853
700,1572
800,6534
800,475
800,7517
800,6897
800,5022
800,4250
800,5805
800,8000
800,9636
800,6631
900,2636
900,7596
900,887
900,5573
900,6930
900,14067
900,7178
900,13250
900,2294
900,6528
1000,8681
1000,3855
1000,8433
1000,2703
1000,3291
1000,12867
1000,12537
1000,8499
1000,586
1000,7149
1100,17419
1100,7943
1100,4192
1100,2849
1100,3366
1100,3217
1100,8850
1100,16414
1100,9411
1100,14965
100,1977
100,427
100,1068
100,1499
100,540
100,1322
100,1930
100,575
100,1400
100,1499
200,3024
200,349
200,1209
200,1663
200,1614
200,1723
200,539
200,1420
200,1070
200,1766
300,3293
300,3790
300,2545
300,2527
300,3246
300,2662
300,4354
300,2626
300,1655
300,1733
400,3364
400,3361
400,1046
400,1154
400,2313
400,2503
400,1227
400,2331
400,3623
400,1388
500,2265
500,3683
500,882
500,1353
500,3767
500,699
500,2871
500,333
500,910
500,606
600,2759
600,1461
600,4266
600,2965
600,4310
600,2644
600,4534
600,4342
600,4555
600,4509
700,5634
700,6043
700,4625
700,1387
700,8880
700,4921
700,3692
700,5487
700,1640
700,1197
800,10876
800,770
800,3782
800,6741
800,2855
800,5552
800,8870
800,8630
800,8057
800,6837
900,2022
900,7314
900,994
900,3150
900,6718
900,7555
900,7014
900,7131
900,2334
900,5932
100,1731
100,423
100,660
100,1264
100,396
100,1238
100,1199
100,555
100,1227
100,1166
200,2569
200,540
200,1820
200,1991
200,2550
200,2512
200,892
200,1907
200,964
200,2966
300,4694
300,4594
300,4790
300,3893
300,4075
300,4071
300,4078
300,4856
300,2877
300,2984
400,3417
400,5090
400,1316
400,1875
400,2511
400,4208
400,2327
400,1543
400,5920
400,2471
500,2570
500,7760
500,1738
500,1457
500,6077
500,1150
500,3201
500,387
500,1585
500,647
600,3089
600,2644
600,4781
600,2892
600,5054
600,3040
600,5361
600,4668
600,8440
600,10605
700,10779
700,10994
700,8477
700,1378
700,10424
700,7083
700,7178
700,9272
700,3579
700,1242
800,12503
800,536
800,7033
800,12441
800,5379
800,7687
800,11042
800,9647
800,9735
800,6542
900,1641
900,13367
900,1745
900,5772
900,10975
900,13978
900,11740
900,12933
900,4432
900,11325
100,1461
100,314
100,479
100,887
100,377
100,975
100,1802
100,429
100,1257
100,1442
200,3129
200,558
200,1757
200,2209
200,1750
200,1848
200,818
200,2306
200,952
200,1942
300,3654
300,3632
300,4098
300,2047
300,2301
300,2651
300,2705
300,2699
300,1579
300,2836
400,3622
400,3408
400,985
400,1123
400,3572
400,3628
400,1843
400,1467
400,3729
400,1545
500,2653
500,4400
500,1011
500,1590
500,4126
500,767
500,3220
500,481
500,1013
500,593
600,3066
600,1733
600,4842
600,2827
600,5132
600,3076
600,5224
600,7972
600,5127
600,8394
700,10384
700,10189
700,6927
700,1445
700,12050
700,8990
700,6640
700,10055
700,1819
700,2191
800,12620
800,971
800,6617
800,13110
800,5512
800,8185
800,10785
800,10262
800,10437
800,10654
900,1457
900,13725
900,1226
900,5348
900,12358
900,14299
900,13048
900,7044
900,3495
900,11106
100,1437
100,354
100,720
100,1245
100,422
100,1247
100,1599
100,943
100,1427
100,1424
200,1839
200,376
200,1765
200,1451
200,1628
200,1762
200,822
200,1945
200,801
200,2896
300,2700
300,3072
300,2559
300,2113
300,2836
300,2709
300,3250
300,3575
300,1721
300,2450
400,4582
400,3250
400,1302
400,1463
400,3826
400,2680
400,1801
400,1895
400,4839
400,1435
500,2213
500,3691
500,782
500,1324
500,3890
500,650
500,2854
500,374
500,820
500,539
600,2691
600,1599
600,4289
600,2491
600,4505
600,2644
600,4599
600,4249
600,4514
600,4619
700,41137
700,10839
700,8268
700,880
700,5632
700,10330
700,6274
700,5351
700,2493
700,1212
800,6521
800,543
800,3835
800,11937
800,3180
800,4279
800,6216
800,8855
800,9164
800,11871
900,2027
900,7293
900,581
900,6000
900,6460
900,14040
900,10722
900,11330
900,2167
900,9094
200,1872
200,1735
200,1140
200,1579
200,346
200,1780
200,635
200,1764
200,1762
200,1740
400,1574
400,1907
400,999
400,1298
400,2254
400,3338
400,1672
400,1654
400,692
400,3262
600,4930
600,2176
600,2850
600,4370
600,8235
600,7356
600,5686
600,4858
600,3870
600,2845
800,6507
800,1925
800,5235
800,7065
800,3859
800,5332
800,7461
800,7079
800,2059
800,10199
1000,4185
1000,2965
1000,8852
1000,5937
1000,6314
1000,1060
1000,3094
1000,310
1000,1430
1000,5522
1200,8025
1200,10457
1200,1829
1200,2341
1200,6112
1200,3044
1200,9455
1200,2475
1200,1801
1200,7517
