vertices,time
100,519
100,106
100,69
100,145
100,217
100,152
100,213
100,70
100,166
100,92
100,238
100,133
100,59
100,66
100,139
100,86
100,162
100,412
100,273
100,192
200,162
200,139
200,204
200,183
200,507
200,106
200,102
200,89
200,85
200,122
100,192
100,108
100,88
100,136
100,112
100,186
100,127
100,172
100,107
100,148
200,339
200,143
200,72
200,124
200,110
200,102
200,89
200,78
200,403
200,115
300,125
300,241
300,194
300,183
300,211
300,139
300,194
300,195
300,174
300,173
400,386
400,214
400,421
400,190
400,160
400,138
400,137
400,184
400,95
400,407
500,112
500,201
500,190
500,174
500,225
500,168
500,160
500,151
500,265
500,150
600,272
600,277
600,297
600,238
600,349
600,452
600,303
600,250
600,181
600,220
700,282
700,218
700,145
700,305
700,536
700,229
700,185
700,159
700,483
700,207
800,148
800,265
800,209
800,504
800,248
800,189
800,175
800,239
800,176
800,258
900,108
900,544
900,151
900,354
900,335
900,192
900,389
900,329
900,283
900,108
1000,467
1000,182
1000,287
1000,473
1000,167
1000,416
1000,186
1000,195
1000,289
1000,265
1100,399
1100,229
1100,261
1100,299
1100,244
1100,371
1100,373
1100,236
1100,713
1100,320
100,179
100,160
100,158
100,147
100,162
100,137
100,178
100,208
100,176
100,147
200,490
200,171
200,102
200,123
200,55
200,76
200,125
200,64
200,74
200,119
300,197
300,199
300,148
300,260
300,192
300,87
300,204
300,157
300,199
300,501
400,163
400,516
400,178
400,181
400,183
400,159
400,216
400,171
400,308
400,213
500,161
500,103
500,159
500,169
500,99
500,191
500,182
500,115
500,86
500,147
600,495
600,92
600,220
600,357
600,243
600,224
600,211
600,239
600,176
600,241
700,380
700,230
700,423
700,198
700,179
700,257
700,161
700,141
700,113
700,499
800,228
800,172
800,231
800,183
800,203
800,148
800,190
800,335
800,268
800,184
900,250
900,311
900,253
900,201
900,179
900,278
900,160
900,126
900,100
900,168
100,357
100,157
100,132
100,96
100,64
100,105
100,153
100,102
100,142
100,100
200,212
200,122
200,173
200,121
200,227
200,140
200,144
200,124
200,103
200,80
300,412
300,177
300,187
300,272
300,221
300,219
300,198
300,244
300,144
300,143
400,293
400,208
400,171
400,169
400,304
400,174
400,228
400,282
400,179
400,253
500,192
500,270
500,153
500,645
500,124
500,445
500,246
500,122
500,295
500,245
600,206
600,146
600,272
600,197
600,455
600,931
600,159
600,462
600,219
600,223
700,253
700,242
700,269
700,378
700,247
700,729
700,218
700,143
700,542
700,291
800,202
800,297
800,148
800,194
800,299
800,217
800,234
800,323
800,488
800,321
900,380
900,204
900,296
900,146
900,629
900,206
900,257
900,150
900,150
900,336
100,338
100,91
100,83
100,77
100,207
100,133
100,110
100,89
100,77
100,84
200,333
200,124
200,230
200,187
200,246
200,212
200,220
200,165
200,201
200,214
300,207
300,132
300,195
300,180
300,206
300,199
300,186
300,234
300,197
300,178
400,211
400,222
400,190
400,251
400,214
400,206
400,206
400,211
400,209
400,168
500,229
500,232
500,179
500,176
500,206
500,176
500,211
500,174
500,282
500,260
600,183
600,605
600,243
600,204
600,282
600,253
600,331
600,418
600,295
600,232
700,197
700,544
700,228
700,91
700,281
700,189
700,145
700,286
700,379
700,233
800,135
800,457
800,140
800,206
800,497
800,131
800,145
800,329
800,104
800,452
900,288
900,159
900,173
900,129
900,261
900,318
900,102
900,145
900,134
900,153
100,273
100,95
100,115
100,103
100,110
100,124
100,122
100,258
100,115
100,108
200,88
200,188
200,131
200,172
200,104
200,180
200,76
200,160
200,167
200,207
300,145
300,189
300,128
300,202
300,166
300,211
300,199
300,155
300,205
300,181
400,465
400,216
400,177
400,175
400,212
400,152
400,224
400,161
400,208
400,162
500,228
500,150
500,228
500,203
500,203
500,177
500,187
500,165
500,153
500,163
600,183
600,240
600,227
600,148
600,195
600,160
600,105
600,214
600,198
600,123
700,241
700,468
700,295
700,470
700,247
700,225
700,184
700,170
700,332
700,165
800,228
800,129
800,174
800,180
800,222
800,114
800,474
800,440
800,524
800,291
900,397
900,122
900,88
900,126
900,260
900,523
900,192
900,157
900,162
900,425
200,357
200,242
200,109
200,110
200,112
200,205
200,183
200,86
200,87
200,109
400,376
400,208
400,143
400,265
400,282
400,169
400,266
400,258
400,321
400,164
600,165
600,163
600,256
600,228
600,106
600,268
600,134
600,345
600,241
600,138
800,188
800,217
800,206
800,185
800,221
800,179
800,212
800,536
800,300
800,139
1000,90
1000,294
1000,437
1000,342
1000,200
1000,179
1000,243
1000,311
1000,236
1000,305
1200,169
1200,190
1200,245
1200,244
1200,342
1200,163
1200,112
1200,262
1200,764
1200,199
1400,446
