vertices,time
100,83354
100,17951
100,62270
100,153793
100,42905
100,101190
100,101924
100,27823
100,106167
100,99193
100,82052
100,16236
100,47395
100,149910
100,19595
100,122866
100,97995
100,48958
100,171106
100,167879
200,421348
200,86595
200,231716
200,415780
200,355661
200,570864
200,46002
200,169862
200,123318
200,352776
100,83859
100,17294
100,38522
100,147832
100,23132
100,100059
100,128697
100,30599
100,152412
100,99701
200,463056
200,62122
200,231989
200,351660
200,349482
200,352673
200,43439
200,124479
200,104492
200,575256
300,351078
300,793663
300,791908
300,275836
300,637144
300,808699
300,892867
300,794933
300,176705
300,492910
400,1435129
400,1432002
400,391602
400,180678
400,419866
400,504120
400,538824
400,64363
400,1510287
400,170818
500,449985
500,2266871
500,489831
500,689799
500,2224736
500,288598
500,1138879
500,69599
500,395904
500,192243
600,1039746
600,955263
600,3253322
600,1620470
600,3346417
600,326088
600,3704258
600,3176080
600,3151037
600,3239394
700,6201323
700,4638839
700,2315368
700,881218
700,5406440
700,769133
700,3812719
700,2457202
700,728657
700,1143937
800,5766635
800,217939
800,3136896
800,5879408
800,2297457
800,3939021
800,4340566
800,1562879
800,3730449
800,5852872
900,819946
900,7361585
900,466736
900,3301495
900,7213953
900,7270411
900,7185942
900,7012601
900,2370289
900,3691938
1000,4287092
1000,2339880
1000,9926339
1000,1130166
1000,3589898
1000,9806202
1000,2136398
1000,8998816
1000,168565
1000,5209540
1100,10854279
1100,6578959
1100,2465476
1100,2751009
1100,2425014
1100,1853392
1100,3893924
1100,10802999
1100,10737892
1100,10831100
100,106064
100,17299
100,37097
100,77202
100,22818
100,98908
100,100747
100,27101
100,98784
100,99823
200,348468
200,61161
200,232600
200,348091
200,347062
200,348091
200,46588
200,127004
200,105618
200,348479
300,356743
300,801488
300,808705
300,270643
300,587965
300,1624455
300,809573
300,792546
300,179582
300,487593
400,1456629
400,1633950
400,395517
400,182530
400,417126
400,450598
400,532098
400,65702
400,1491548
400,171408
500,405310
500,2218814
500,391152
500,687737
500,2276031
500,332105
500,817628
500,72838
500,404520
500,194330
600,1055048
600,954049
600,3280165
600,1697009
600,3219225
600,293237
600,3383730
600,3181801
600,3291175
600,3195571
700,4400465
700,4519928
700,2013541
700,568643
700,4355504
700,508378
700,2924934
700,2453232
700,686776
700,881736
800,5649429
800,273426
800,3057294
800,5721963
800,2259554
800,3919280
800,4240040
800,1556940
800,3177561
800,5686383
900,721690
900,7128596
900,430974
900,3201402
900,7126275
900,7275266
900,7127911
900,6743646
900,2163475
900,3707868
100,84203
100,16661
100,37258
100,84920
100,60273
100,98685
100,98558
100,56032
100,99252
100,98684
200,396803
200,63888
200,256327
200,395269
200,461399
200,395106
200,48524
200,141070
200,116676
200,394507
300,677612
300,1574897
300,1743607
300,537270
300,1067445
300,1434892
300,1761088
300,1598977
300,331055
300,952869
400,1668113
400,1745247
400,441088
400,199536
400,466445
400,780103
400,602352
400,72888
400,5715360
400,348475
500,462047
500,4120337
500,760798
500,777492
500,3466269
500,516519
500,901842
500,126135
500,445226
500,355124
600,1257157
600,1313942
600,7092440
600,1827151
600,4456734
600,456568
600,3623030
600,4184726
600,6381167
600,6713512
700,8206809
700,8796574
700,3576548
700,960716
700,5343589
700,495354
700,4171478
700,2743265
700,763547
700,894478
800,10989028
800,399968
800,5701131
800,10795012
800,4502473
800,7370400
800,8343004
800,3341383
800,6036436
800,7260149
900,832220
900,8643999
900,509987
900,7283368
900,8275350
900,10721367
900,8110092
900,7987215
900,3513599
900,4644422
100,100273
100,16461
100,36264
100,130660
100,22326
100,98532
100,98653
100,26939
100,98719
100,98369
200,430754
200,66430
200,258811
200,416431
200,508631
200,415422
200,51683
200,146786
200,120767
200,402937
300,399686
300,908359
300,937488
300,302097
300,650588
300,903600
300,927281
300,914959
300,198517
300,561015
400,1622652
400,1626932
400,480973
400,202319
400,477456
400,512747
400,630011
400,72537
400,1619696
400,189493
500,467603
500,2529257
500,439238
500,787361
500,2595660
500,345463
500,908800
500,126639
500,448590
500,212693
600,1186757
600,1091859
600,3690577
600,1831086
600,3633026
600,329266
600,3620194
600,6182382
600,3648738
600,6217347
700,4907240
700,4932199
700,2098934
700,544262
700,4900073
700,508809
700,2836843
700,3298335
700,757180
700,877506
800,6422064
800,248481
800,3393211
800,6379017
800,2570287
800,4407218
800,4779399
800,1803310
800,3634117
800,6391555
900,843344
900,8121582
900,473174
900,3663077
900,8079369
900,8134350
900,8076395
900,7653736
900,2434516
900,4173936
100,82344
100,14155
100,36937
100,74869
100,21985
100,113960
100,104907
100,25167
100,99188
100,98930
200,347534
200,63603
200,294193
200,351482
200,346052
200,345456
200,50734
200,141761
200,117487
200,405813
300,356726
300,790341
300,791787
300,295056
300,577012
300,800989
300,897155
300,867222
300,175216
300,532695
400,1428756
400,1512405
400,389740
400,182095
400,416027
400,522642
400,535133
400,64021
400,1428435
400,170218
500,411436
500,2418993
500,410885
500,740836
500,2300385
500,286265
500,848198
500,70694
500,448639
500,189832
600,1045319
600,981760
600,3219737
600,1614422
600,3290867
600,319972
600,3278795
600,3181096
600,3247290
600,3633924
700,4429570
700,4698118
700,2077121
700,553011
700,4540833
700,433946
700,2541256
700,2602868
700,747849
700,797928
800,5622955
800,218969
800,2972890
800,5842085
800,2287915
800,4050767
800,4456571
800,1848129
800,3691271
800,7130675
900,706971
900,7457318
900,424893
900,3248578
900,7176068
900,7963441
900,7291803
900,6764764
900,2156326
900,3672606
200,104306
200,110704
200,145722
200,307351
200,44281
200,248415
200,289297
200,189666
200,249529
200,164890
400,337305
400,41565
400,792814
400,752348
400,108613
400,338603
400,521186
400,280298
400,87166
400,1022341
600,2263702
600,2313490
600,2241973
600,1262357
600,2365057
600,1523766
600,2367211
600,745313
600,2612162
600,2053514
800,4772515
800,956684
800,368091
800,763678
800,1220227
800,1035167
800,4105837
800,3073690
800,1199430
800,5863561
1000,5617939
1000,781059
1000,4654038
1000,3567620
1000,4342575
1000,5887545
1000,3817893
1000,4258132
1000,956020
1000,2537582
1200,5303735
1200,7704035
1200,8154646
1200,9556865
1200,597482
1200,4242196
1200,10575060
1200,4023255
1200,433776
1200,5704648
