vertices,time
100,58404
100,12389
100,25919
100,41742
100,25300
100,126132
100,127288
100,31186
100,146070
100,83326
100,40373
100,21793
100,26810
100,39998
100,17146
100,92750
100,129463
100,29885
100,126361
100,124182
200,483742
200,49309
200,157761
200,486062
200,342111
200,308454
200,38368
200,132553
200,79962
200,296110
100,41618
100,13077
100,26518
100,66285
100,24124
100,81628
100,81479
100,20888
100,102859
100,82659
200,569693
200,44248
200,220244
200,276803
200,312826
200,318857
200,31671
200,83792
200,86735
200,337857
300,237055
300,621206
300,867838
300,218777
300,297388
300,675355
300,678685
300,686585
300,119056
300,350291
400,1267990
400,1334930
400,402157
400,123174
400,347281
400,331455
400,525690
400,41460
400,1118201
400,116097
500,284321
500,1781532
500,275694
500,456027
500,1726347
500,204945
500,514828
500,43690
500,282397
500,133540
600,743684
600,636715
600,2482559
600,954157
600,2539506
600,212580
600,2649249
600,2817800
600,2559217
600,2607150
700,4056610
700,3523863
700,1365177
700,361684
700,3568286
700,401872
700,1856509
700,1558007
700,516818
700,599283
800,4810996
800,159396
800,1920236
800,4562545
800,1436200
800,2093227
800,2167869
800,1139434
800,1914434
800,4891735
900,559282
900,5779582
900,335284
900,2187628
900,5911433
900,5693069
900,5652263
900,3047739
900,1609338
900,2202259
1000,2392571
1000,1689670
1000,8275211
1000,790180
1000,2299063
1000,6948605
1000,1521454
1000,8629165
1000,83082
1000,2730714
1100,8589868
1100,3725866
1100,2009677
1100,1920832
1100,1904351
1100,1705677
1100,3448517
1100,9553774
1100,8502327
1100,8629011
100,58405
100,20055
100,53795
100,66800
100,27402
100,109706
100,132333
100,32283
100,130832
100,116441
200,497916
200,45523
200,127486
200,274733
200,289630
200,283340
200,31424
200,83267
200,130529
200,273388
300,221755
300,659081
300,630433
300,177687
300,298038
300,628551
300,917163
300,664535
300,129148
300,300649
400,1116238
400,1362203
400,288596
400,159552
400,301556
400,299566
400,364257
400,62484
400,1267200
400,126418
500,285145
500,1798641
500,295527
500,455621
500,1729690
500,203214
500,515629
500,43871
500,324151
500,133071
600,736681
600,693547
600,2488689
600,1113140
600,2574503
600,214035
600,2484795
600,2470308
600,2533652
600,2476522
700,3343907
700,3385345
700,1213112
700,431386
700,3516827
700,398004
700,1596210
700,1517969
700,554427
700,681355
800,4555807
800,197353
800,2096103
800,4563751
800,1550756
800,2083083
800,2202712
800,1162508
800,1911650
800,4603991
900,649700
900,5784118
900,426871
900,2032908
900,5742908
900,5713064
900,5748784
900,2915714
900,1497292
900,2255469
100,60271
100,18500
100,26562
100,39946
100,27307
100,84447
100,111657
100,20555
100,129808
100,81630
200,506479
200,45139
200,143713
200,309663
200,365989
200,356701
200,35947
200,94782
200,80460
200,312701
300,411192
300,1185529
300,1249043
300,389170
300,637387
300,1624529
300,1083250
300,1215400
300,226452
300,579914
400,1400598
400,1356257
400,452870
400,232766
400,314181
400,529041
400,382289
400,46808
400,2039423
400,245309
500,505718
500,3104316
500,479140
500,985229
500,3242059
500,392868
500,950544
500,78452
500,361221
500,164807
600,770061
600,846412
600,3678373
600,1072932
600,2973396
600,239181
600,3364088
600,2797678
600,4709252
600,4732074
700,6754441
700,7164155
700,2175565
700,649812
700,6759888
700,575415
700,1567846
700,1580334
700,541134
700,627364
800,9246549
800,180817
800,3618298
800,8452781
800,2854642
800,3884016
800,3949241
800,2156617
800,3806897
800,6349458
900,592549
900,6360576
900,347836
900,4199116
900,6456468
900,6283073
900,7723168
900,6382093
900,2607960
900,4224437
100,41510
100,13379
100,26501
100,41829
100,17254
100,81353
100,80947
100,20370
100,123355
100,82289
200,441232
200,45139
200,145480
200,311273
200,374353
200,318524
200,57027
200,128026
200,79518
200,309790
300,463005
300,702557
300,710953
300,198496
300,336247
300,711599
300,705310
300,705518
300,134625
300,307818
400,1294117
400,1258342
400,354482
400,139834
400,310337
400,342132
400,413944
400,46225
400,1287159
400,131776
500,348073
500,1956713
500,339031
500,516082
500,1973907
500,227565
500,580240
500,81402
500,517755
500,234560
600,774684
600,816374
600,2824496
600,1072138
600,2840116
600,241031
600,2862627
600,4813631
600,4880901
600,4912814
700,3826033
700,3817548
700,1285675
700,395288
700,4358152
700,400378
700,1568395
700,1566478
700,540099
700,622913
800,4987224
800,180467
800,1966647
800,4988997
800,1585409
800,2255360
800,2345126
800,1182681
800,2039277
800,5011267
900,597574
900,6356333
900,347789
900,2185765
900,10494525
900,6287822
900,6324838
900,3201092
900,1624147
900,2435257
100,39789
100,12188
100,40798
100,35814
100,17427
100,80551
100,88780
100,30055
100,174560
100,87413
200,308771
200,48949
200,259808
200,325895
200,276353
200,334747
200,31806
200,91410
200,76474
200,339206
300,269160
300,802666
300,715546
300,217642
300,366307
300,729195
300,677270
300,769163
300,179743
300,308743
400,1282037
400,1259012
400,261744
400,123466
400,334325
400,381844
400,381598
400,44068
400,1181062
400,142732
500,284160
500,1727965
500,275616
500,454900
500,1725468
500,208991
500,580139
500,58364
500,279494
500,132734
600,685511
600,636286
600,2557472
600,954466
600,2520918
600,210979
600,2493251
600,2465322
600,2541686
600,2818046
700,3393504
700,3504906
700,1418858
700,380690
700,3620865
700,362854
700,1485976
700,1407923
700,518137
700,552708
800,4525717
800,158481
800,1759264
800,4508822
800,1434489
800,2276222
800,2357331
800,1935473
800,2040217
800,5672582
900,564751
900,5705229
900,311444
900,2234030
900,5761586
900,5733758
900,6655939
900,2883680
900,1407166
900,3623885
200,52798
200,66225
200,83197
200,121425
200,116591
200,122223
200,119043
200,121597
200,122216
200,81161
400,449860
400,29294
400,481264
400,475750
400,77361
400,183453
400,516203
400,179817
400,62276
400,506231
600,1022086
600,1020368
600,1113848
600,718202
600,851774
600,724391
600,1124859
600,416312
600,1140944
600,1532610
800,1671872
800,728870
800,269633
800,414409
800,1183860
800,2059169
800,2206625
800,949842
800,661278
800,2037755
1000,2757268
1000,648110
1000,2822599
1000,2776161
1000,2637232
1000,2803822
1000,2826881
1000,2835713
1000,722223
1000,2680567
1200,2636815
1200,4364557
1200,3971043
1200,3892958
1200,393398
1200,3909455
1200,3866142
1200,3876897
1200,320982
1200,2656911
