Elements,Time,Distribution
100,4,ASCENDING
100,3,DESCENDING
100,5,ASHAPE
100,4,VSHAPE
200,12,UNIFORM
200,5,CONSTANT
200,12,ASCENDING
200,7,DESCENDING
200,11,ASHAPE
200,7,VSHAPE
300,17,UNIFORM
300,5,CONSTANT
300,15,ASCENDING
300,12,DESCENDING
300,15,ASHAPE
300,14,VSHAPE
400,21,UNIFORM
400,7,CONSTANT
400,20,ASCENDING
400,14,DESCENDING
400,18,ASHAPE
400,18,VSHAPE
500,31,UNIFORM
500,13,CONSTANT
500,26,ASCENDING
500,22,DESCENDING
500,29,ASHAPE
500,28,VSHAPE
600,27,UNIFORM
600,11,CONSTANT
600,23,ASCENDING
600,19,DESCENDING
600,22,ASHAPE
600,21,VSHAPE
700,43,UNIFORM
700,12,CONSTANT
700,27,ASCENDING
700,22,DESCENDING
700,26,ASHAPE
700,38,VSHAPE
800,35,UNIFORM
800,14,CONSTANT
800,32,ASCENDING
800,39,DESCENDING
800,30,ASHAPE
800,28,VSHAPE
900,41,UNIFORM
900,16,CONSTANT
900,48,ASCENDING
900,33,DESCENDING
900,33,ASHAPE
900,32,VSHAPE
100,5,UNIFORM
100,2,CONSTANT
100,6,ASCENDING
100,3,DESCENDING
100,6,ASHAPE
100,4,VSHAPE
200,10,UNIFORM
200,3,CONSTANT
200,8,ASCENDING
200,6,DESCENDING
200,8,ASHAPE
200,7,VSHAPE
300,20,UNIFORM
300,9,CONSTANT
300,18,ASCENDING
300,15,DESCENDING
300,17,ASHAPE
300,17,VSHAPE
400,20,UNIFORM
400,12,CONSTANT
400,19,ASCENDING
400,19,DESCENDING
400,21,ASHAPE
400,64,VSHAPE
500,25,UNIFORM
500,15,CONSTANT
500,27,ASCENDING
500,55,DESCENDING
500,25,ASHAPE
500,24,VSHAPE
600,28,UNIFORM
600,17,CONSTANT
600,29,ASCENDING
600,25,DESCENDING
600,27,ASHAPE
600,27,VSHAPE
700,33,UNIFORM
700,19,CONSTANT
700,39,ASCENDING
700,28,DESCENDING
700,31,ASHAPE
700,30,VSHAPE
800,49,UNIFORM
800,21,CONSTANT
800,46,ASCENDING
800,35,DESCENDING
800,43,ASHAPE
800,44,VSHAPE
900,44,UNIFORM
900,17,CONSTANT
900,40,ASCENDING
900,33,DESCENDING
900,38,ASHAPE
900,36,VSHAPE
100,7,UNIFORM
100,3,CONSTANT
100,6,ASCENDING
100,5,DESCENDING
100,6,ASHAPE
100,6,VSHAPE
200,13,UNIFORM
200,5,CONSTANT
200,12,ASCENDING
200,10,DESCENDING
200,12,ASHAPE
200,11,VSHAPE
300,19,UNIFORM
300,8,CONSTANT
300,18,ASCENDING
300,14,DESCENDING
300,17,ASHAPE
300,15,VSHAPE
400,26,UNIFORM
400,11,CONSTANT
400,24,ASCENDING
400,20,DESCENDING
400,22,ASHAPE
400,22,VSHAPE
500,32,UNIFORM
500,14,CONSTANT
500,30,ASCENDING
500,24,DESCENDING
500,28,ASHAPE
500,27,VSHAPE
600,39,UNIFORM
600,17,CONSTANT
600,35,ASCENDING
600,30,DESCENDING
600,33,ASHAPE
600,33,VSHAPE
700,44,UNIFORM
700,20,CONSTANT
700,42,ASCENDING
700,34,DESCENDING
700,40,ASHAPE
700,38,VSHAPE
800,51,UNIFORM
800,22,CONSTANT
800,48,ASCENDING
800,39,DESCENDING
800,47,ASHAPE
800,43,VSHAPE
900,60,UNIFORM
900,25,CONSTANT
900,54,ASCENDING
900,44,DESCENDING
900,51,ASHAPE
900,48,VSHAPE
100,5,UNIFORM
100,2,CONSTANT
100,5,ASCENDING
100,3,DESCENDING
100,6,ASHAPE
100,4,VSHAPE
200,9,UNIFORM
200,3,CONSTANT
200,11,ASCENDING
200,6,DESCENDING
200,8,ASHAPE
200,7,VSHAPE
300,17,UNIFORM
300,5,CONSTANT
300,14,ASCENDING
300,9,DESCENDING
300,12,ASHAPE
300,11,VSHAPE
400,21,UNIFORM
400,7,CONSTANT
400,20,ASCENDING
400,12,DESCENDING
400,18,ASHAPE
400,15,VSHAPE
500,27,UNIFORM
500,9,CONSTANT
500,25,ASCENDING
