Elements,Time,Distribution
100,24,ASCENDING
100,13,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,44,UNIFORM
200,33,CONSTANT
200,33,ASCENDING
200,34,DESCENDING
200,35,ASHAPE
200,33,VSHAPE
300,70,UNIFORM
300,53,CONSTANT
300,50,ASCENDING
300,51,DESCENDING
300,50,ASHAPE
300,49,VSHAPE
400,91,UNIFORM
400,68,CONSTANT
400,70,ASCENDING
400,70,DESCENDING
400,66,ASHAPE
400,68,VSHAPE
500,198,UNIFORM
500,158,CONSTANT
500,127,ASCENDING
500,127,DESCENDING
500,78,ASHAPE
500,80,VSHAPE
600,144,UNIFORM
600,103,CONSTANT
600,98,ASCENDING
600,102,DESCENDING
600,104,ASHAPE
600,105,VSHAPE
700,165,UNIFORM
700,119,CONSTANT
700,117,ASCENDING
700,149,DESCENDING
700,118,ASHAPE
700,119,VSHAPE
800,192,UNIFORM
800,133,CONSTANT
800,130,ASCENDING
800,133,DESCENDING
800,138,ASHAPE
800,136,VSHAPE
900,237,UNIFORM
900,161,CONSTANT
900,148,ASCENDING
900,149,DESCENDING
900,154,ASHAPE
900,147,VSHAPE
100,21,UNIFORM
100,14,CONSTANT
100,13,ASCENDING
100,13,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,44,UNIFORM
200,35,CONSTANT
200,33,ASCENDING
200,33,DESCENDING
200,36,ASHAPE
200,33,VSHAPE
300,72,UNIFORM
300,62,CONSTANT
300,54,ASCENDING
300,57,DESCENDING
300,55,ASHAPE
300,53,VSHAPE
400,92,UNIFORM
400,73,CONSTANT
400,70,ASCENDING
400,79,DESCENDING
400,133,ASHAPE
400,75,VSHAPE
500,124,UNIFORM
500,92,CONSTANT
500,88,ASCENDING
500,89,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,148,UNIFORM
600,110,CONSTANT
600,152,ASCENDING
600,107,DESCENDING
600,104,ASHAPE
600,105,VSHAPE
700,214,UNIFORM
700,187,CONSTANT
700,161,ASCENDING
700,170,DESCENDING
700,193,ASHAPE
700,181,VSHAPE
800,293,UNIFORM
800,230,CONSTANT
800,221,ASCENDING
800,224,DESCENDING
800,221,ASHAPE
800,223,VSHAPE
900,224,UNIFORM
900,168,CONSTANT
900,154,ASCENDING
900,199,DESCENDING
900,247,ASHAPE
900,238,VSHAPE
100,26,UNIFORM
100,23,CONSTANT
100,22,ASCENDING
100,21,DESCENDING
100,26,ASHAPE
100,22,VSHAPE
200,60,UNIFORM
200,48,CONSTANT
200,48,ASCENDING
200,48,DESCENDING
200,50,ASHAPE
200,47,VSHAPE
300,95,UNIFORM
300,80,CONSTANT
300,74,ASCENDING
300,76,DESCENDING
300,73,ASHAPE
300,74,VSHAPE
400,129,UNIFORM
400,103,CONSTANT
400,99,ASCENDING
400,105,DESCENDING
400,100,ASHAPE
400,103,VSHAPE
500,173,UNIFORM
500,133,CONSTANT
500,169,ASCENDING
500,134,DESCENDING
500,129,ASHAPE
500,131,VSHAPE
600,215,UNIFORM
600,163,CONSTANT
600,164,ASCENDING
600,161,DESCENDING
600,159,ASHAPE
600,169,VSHAPE
700,250,UNIFORM
700,194,CONSTANT
700,191,ASCENDING
700,181,DESCENDING
700,188,ASHAPE
700,203,VSHAPE
800,289,UNIFORM
800,5930,CONSTANT
800,230,ASCENDING
800,215,DESCENDING
800,217,ASHAPE
800,216,VSHAPE
900,324,UNIFORM
900,252,CONSTANT
900,253,ASCENDING
900,233,DESCENDING
900,247,ASHAPE
900,245,VSHAPE
100,21,UNIFORM
100,14,CONSTANT
100,12,ASCENDING
100,16,DESCENDING
100,13,ASHAPE
100,12,VSHAPE
200,44,UNIFORM
200,35,CONSTANT
200,33,ASCENDING
200,33,DESCENDING
200,35,ASHAPE
200,33,VSHAPE
300,70,UNIFORM
300,52,CONSTANT
300,48,ASCENDING
300,53,DESCENDING
300,49,ASHAPE
300,49,VSHAPE
400,92,UNIFORM
400,70,CONSTANT
400,66,ASCENDING
400,70,DESCENDING
400,66,ASHAPE
400,68,VSHAPE
500,128,UNIFORM
500,88,CONSTANT
500,83,ASCENDING
500,86,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,152,UNIFORM
600,105,CONSTANT
600,104,ASCENDING
600,103,DESCENDING
600,102,ASHAPE
600,101,VSHAPE
700,170,UNIFORM
700,123,CONSTANT
700,157,ASCENDING
700,134,DESCENDING
700,117,ASHAPE
700,122,VSHAPE
800,297,UNIFORM
800,237,CONSTANT
800,226,ASCENDING
800,226,DESCENDING
800,277,ASHAPE
800,236,VSHAPE
900,231,UNIFORM
900,171,CONSTANT
900,160,ASCENDING
900,162,DESCENDING
900,199,ASHAPE
900,159,VSHAPE
100,26,UNIFORM
100,22,CONSTANT
100,33,ASCENDING
100,26,DESCENDING
100,13,ASHAPE
100,13,VSHAPE
200,39,UNIFORM
200,29,CONSTANT
200,40,ASCENDING
200,29,DESCENDING
200,28,ASHAPE
200,28,VSHAPE
300,66,UNIFORM
300,45,CONSTANT
300,47,ASCENDING
300,46,DESCENDING
300,55,ASHAPE
300,45,VSHAPE
400,94,UNIFORM
400,68,CONSTANT
400,66,ASCENDING
400,73,DESCENDING
400,68,ASHAPE
400,73,VSHAPE
500,122,UNIFORM
500,87,CONSTANT
500,82,ASCENDING
500,88,DESCENDING
500,86,ASHAPE
500,88,VSHAPE
600,139,UNIFORM
600,117,CONSTANT
600,105,ASCENDING
600,108,DESCENDING
600,108,ASHAPE
600,107,VSHAPE
700,167,UNIFORM
700,127,CONSTANT
700,123,ASCENDING
700,120,DESCENDING
700,123,ASHAPE
700,124,VSHAPE
800,191,UNIFORM
800,150,CONSTANT
800,152,ASCENDING
800,141,DESCENDING
800,149,ASHAPE
800,132,VSHAPE
900,217,UNIFORM
900,153,CONSTANT
900,183,ASCENDING
900,158,DESCENDING
900,189,ASHAPE
900,171,VSHAPE
1000,245,UNIFORM
1000,181,CONSTANT
1000,175,ASCENDING
1000,171,DESCENDING
1000,181,ASHAPE
1000,179,VSHAPE
1100,278,UNIFORM
1100,204,CONSTANT
1100,203,ASCENDING
1100,207,DESCENDING
1100,200,ASHAPE
1100,203,VSHAPE
1200,302,UNIFORM
1200,221,CONSTANT
1200,213,ASCENDING
1200,205,DESCENDING
1200,210,ASHAPE
1200,216,VSHAPE
1300,326,UNIFORM
1300,238,CONSTANT
1300,227,ASCENDING
1300,218,DESCENDING
1300,231,ASHAPE
1300,243,VSHAPE
1400,386,UNIFORM
1400,264,CONSTANT
1400,239,ASCENDING
1400,255,DESCENDING
1400,245,ASHAPE
1400,250,VSHAPE
1500,446,UNIFORM
1500,276,CONSTANT
1500,259,ASCENDING
1500,263,DESCENDING
1500,269,ASHAPE
1500,261,VSHAPE
1600,411,UNIFORM
1600,294,CONSTANT
1600,290,ASCENDING
1600,272,DESCENDING
1600,282,ASHAPE
1600,286,VSHAPE
1700,446,UNIFORM
1700,317,CONSTANT
1700,307,ASCENDING
1700,293,DESCENDING
1700,296,ASHAPE
1700,280,VSHAPE
1800,469,UNIFORM
1800,341,CONSTANT
1800,324,ASCENDING
1800,311,DESCENDING
1800,310,ASHAPE
1800,306,VSHAPE
1900,501,UNIFORM
1900,353,CONSTANT
1900,353,ASCENDING
1900,326,DESCENDING
1900,325,ASHAPE
1900,330,VSHAPE
2000,529,UNIFORM
2000,369,CONSTANT
2000,365,ASCENDING
2000,338,DESCENDING
2000,347,ASHAPE
2000,345,VSHAPE
2100,563,UNIFORM
2100,405,CONSTANT
2100,362,ASCENDING
2100,360,DESCENDING
2100,365,ASHAPE
2100,364,VSHAPE
2200,591,UNIFORM
2200,411,CONSTANT
2200,406,ASCENDING
2200,417,DESCENDING
2200,377,ASHAPE
2200,382,VSHAPE
2300,535,UNIFORM
2300,393,CONSTANT
2300,432,ASCENDING
2300,395,DESCENDING
