Elements,Time,Distribution
100,21,ASCENDING
100,21,DESCENDING
100,10,ASHAPE
100,10,VSHAPE
200,26,UNIFORM
200,9,CONSTANT
200,75,ASCENDING
200,73,DESCENDING
200,25,ASHAPE
200,24,VSHAPE
300,40,UNIFORM
300,18,CONSTANT
300,159,ASCENDING
300,157,DESCENDING
300,37,ASHAPE
300,36,VSHAPE
400,53,UNIFORM
400,24,CONSTANT
400,272,ASCENDING
400,273,DESCENDING
400,50,ASHAPE
400,47,VSHAPE
500,80,UNIFORM
500,30,CONSTANT
500,419,ASCENDING
500,441,DESCENDING
500,84,ASHAPE
500,79,VSHAPE
600,80,UNIFORM
600,31,CONSTANT
600,596,ASCENDING
600,545,DESCENDING
600,75,ASHAPE
600,114,VSHAPE
700,101,UNIFORM
700,36,CONSTANT
700,733,ASCENDING
700,733,DESCENDING
700,100,ASHAPE
700,92,VSHAPE
800,116,UNIFORM
800,41,CONSTANT
800,964,ASCENDING
800,983,DESCENDING
800,112,ASHAPE
800,103,VSHAPE
900,126,UNIFORM
900,59,CONSTANT
900,1409,ASCENDING
900,1191,DESCENDING
900,129,ASHAPE
900,119,VSHAPE
100,11,UNIFORM
100,7,CONSTANT
100,20,ASCENDING
100,22,DESCENDING
100,10,ASHAPE
100,10,VSHAPE
200,26,UNIFORM
200,9,CONSTANT
200,78,ASCENDING
200,73,DESCENDING
200,24,ASHAPE
200,23,VSHAPE
300,40,UNIFORM
300,27,CONSTANT
300,159,ASCENDING
300,157,DESCENDING
300,37,ASHAPE
300,40,VSHAPE
400,52,UNIFORM
400,26,CONSTANT
400,275,ASCENDING
400,274,DESCENDING
400,51,ASHAPE
400,48,VSHAPE
500,71,UNIFORM
500,38,CONSTANT
500,481,ASCENDING
500,437,DESCENDING
500,68,ASHAPE
500,65,VSHAPE
600,81,UNIFORM
600,36,CONSTANT
600,619,ASCENDING
600,600,DESCENDING
600,79,ASHAPE
600,78,VSHAPE
700,94,UNIFORM
700,43,CONSTANT
700,817,ASCENDING
700,825,DESCENDING
700,97,ASHAPE
700,95,VSHAPE
800,128,UNIFORM
800,60,CONSTANT
800,1150,ASCENDING
800,1141,DESCENDING
800,122,ASHAPE
800,124,VSHAPE
900,149,UNIFORM
900,72,CONSTANT
900,1432,ASCENDING
900,1453,DESCENDING
900,129,ASHAPE
900,121,VSHAPE
100,13,UNIFORM
100,7,CONSTANT
100,21,ASCENDING
100,22,DESCENDING
100,12,ASHAPE
100,12,VSHAPE
200,28,UNIFORM
200,14,CONSTANT
200,79,ASCENDING
200,77,DESCENDING
200,27,ASHAPE
200,25,VSHAPE
300,45,UNIFORM
300,22,CONSTANT
300,172,ASCENDING
